/wiki/Andalusian_Progress_Party,/wiki/Canarian_Independent_Groups,/wiki/Confederation_of_the_Greens,/wiki/Democratic_Party_of_the_New_Left,/wiki/Galician_Coalition,/wiki/Galician_Nationalist_Bloc,/wiki/Galician_Socialist_Party%E2%80%93Galician_Left,/wiki/PSM%E2%80%93Nationalist_Agreement,/wiki/Progressives_for_the_Balearic_Islands,/wiki/Ruiz-Mateos_Group,/wiki/Unity_for_the_Isles,AP,AP-PDP-PL,AP–PDP,Amaiur logo.svg,Aralar,BNG–Nós,C's,CC,CDC,CDS,CHA,CUP,CiU,Compromís,Cs,DiL,EA,EE,EHB.png,ERC,ERC–CatSí,FAC,GBai,HB,ICV,IU,IU–LV,IU–UPeC,Isotipo Unidos Podemos.svg,Més,NC,NCa,NaBai,PA,PACMA,PAR,PCE,PDP,PDeCAT,PNV,PP,PRC,PRD,PSOE,Podemos,UA,UCD,UPCA,UPN,UPyD,UV,Unnamed: 0,Vox,date,eQuo,error,firm,lead,size,turnout,unio.cat
,,,,,,,,,,,,,,,,,15.440/44,,,,,,,,,,,,,,,,,,,,,w.UP,23.783/87,,,,,,,,,,,,28.8116/120,,,21.681/85,w.UP,,,,,,,21,,2016-06-18,,,GESOP/El Periódico[p 22],5.1,900.0,71–73,
,,,,,,,,,,,,,,,,,15.640/44,,,,,,,,,,,,,,,,,,,,,w.UP,24.284/88,,,,,,,,,,,,28.3114/118,,,21.280/84,w.UP,,,,,,,22,,2016-06-17,,,GESOP/El Periódico[p 23],4.1,900.0,70–72,
,,,,,0.20,,,,,,,,,,,,13.332/34,0.31,,,,,,,,1.76,,,0.82,,2.48,,,,,,,w.UP,25.383/88,,,,,,0.8,,,,,1.15,30.5123/128,,,21.884/86,w.UP,,,,,,,23,,2016-06-17,,,Celeste-Tel/eldiario.es[p 24],5.2,1100.0,66.5,
,,,,,,,,,,,,,,,,,16.241/48,0.21,,,,,,,,1.76/7,,,0.83,,2.38/9,,,,,,,w.UP,24.378/86,,,,,,,,,,,1.15,28.8118/124,,,21.779/82,w.UP,,,,,,,24,,2016-06-17,,,A+M/20minutos[p 25],4.5,4000.0,68.8,
,,,,,,,,,,,,,,,,,12.530/38,0.31,,,,,,,,2.06/8,,,0.82,,2.17/9,,,,,,,w.UP,26.272/93,,,,,,,,,,,1.36/7,30.4125/133,,,21.075/85,w.UP,,,,,,,25,,2016-06-17,,,Hamalgama–Ágora Integral[p 26],4.2,1450.0,69.7,
,,,,,,,,,,,,,,,,,15.242,,,,,,,,,,,,,,,,,,,,,w.UP,24.085,,,,,,,,,,,,30.4125,,,20.475,w.UP,,,,,,,26,,2016-06-17,,,Netquest/El Español[p 27],6.4,2000.0,,
,,,,,,,,,,,,,,,,,13.233/35,0.31,,,,,,,,1.76/7,,,0.82,,2.38/9,,,,,,,w.UP,25.482/87,,,,,,,,,,,1.15/6,31.1126/131,,,21.280/83,w.UP,,,,,,,27,,2016-06-17,,,NC Report/La Razón[p 28][p 29],5.7,2000.0,64.6,
,,,,,,,,,,,,,,,,,14.1,,,,,,,,,,,,,,,,,,,,,w.UP,25.3,,,,,,,,,,,,29.8,,,20.4,w.UP,,,,,,,28,,2016-06-16,,,Invymark/laSexta[p 30],4.5,,,
,,,,,,,,,,,,,,,,,14.135/40,?0/1,,,,,,,,1.85/6,,,?2,,2.48/9,,,,,,,w.UP,24.886/92,,,,,,,,,,,1.24/6,30.5124/129,,,20.073/78,w.UP,,,,,,,29,,2016-06-16,,,Sigma Dos/El Mundo[p 31],5.7,1500.0,,
,,,,,,,,,,,,,,,,,15.640/44,,,,,,,,,,,,,,,,,,,,,w.UP,24.184/88,,,,,,,,,,,,28.6114/118,,,20.879/83,w.UP,,,,,,,30,,2016-06-16,,,GESOP/El Periódico[p 32],4.5,900.0,69–71,
,,,,,,,,,,,,,,,,,14.438/40,0.30/1,,,,,,,,1.76,,,0.82,,2.39,,,,,,,w.UP,24.684/85,,,,,,,,,,,1.25,30.3121/124,,,21.480/83,w.UP,,,,,,,31,,2016-06-16,,,GAD3/ABC[p 33],5.7,1400.0,,
,,,,,0.20,,,,,,,,,,,,13.432/34,0.31,,,,,,,,1.76,,,0.82,,2.48,,,,,,,w.UP,25.182/87,,,,,,0.8,,,,,1.25,30.3123/128,,,21.883/86,w.UP,,,,,,,32,,2016-06-16,,,Celeste-Tel/eldiario.es[p 34],5.2,1100.0,66.4,
,,,,,,,,,,,,,,,,,14.438/39,,,,,,,,,,,,,,,,,,,,,w.UP,24.887/90,,,,,,,,,,,,28.9118/123,,,20.475/80,w.UP,,,,,,,33,,2016-06-16,,,MyWord/Cadena SER[p 35][p 36],4.1,1502.0,,
,,,,,,,,,,,,,,,,,15.241,?1,,,,,,,,?8,,,?2,,?9/10,,,,,,,w.UP,24.984/88,,,,,,,,,,,?5/6,29.0115/117,,,21.079/81,w.UP,,,,,,,34,,2016-06-15,,,DYM/El Confidencial[p 37][p 38],4.1,1011.0,72–73,
,,,,,,,,,,,,,,,,,14.537/41,,,,,,,,,,,,,,,,,,,,,w.UP,26.092/95,,,,,,,,,,,,29.0113/116,,,20.578/85,w.UP,,,,,,,35,,2016-06-15,,,Metroscopia/El País[p 39][p 40][p 41],3.0,1800.0,70,
,,,,,,,,,,,,,,,,,15.440/44,,,,,,,,,,,,,,,,,,,,,w.UP,24.585/89,,,,,,,,,,,,28.3113/117,,,20.879/83,w.UP,,,,,,,36,,2016-06-15,,,GESOP/El Periódico[p 42],3.8,900.0,68–70,
,,,,,,,,,,,,,,,,,14.8,,,,,,,,,,,,,,,,,,,,,w.UP,25.1,,,,,,,,,,,,29.6,,,20.5,w.UP,,,,,,,37,,2016-06-15,,,Advice Strategic/Europa Press[p 43],4.5,2500.0,,
,,,,,,,,,,,,,,,,,15.4,,,,,,,,,,,,,,,,,,,,,w.UP,23.5,,,,,,,,,,,,29.2,,,22.5,w.UP,,,,,,,38,,2016-06-15,,,Simple Lógica[p 44],5.7,1226.0,70.9,
,,,,,,,,,,,,,,,,,15.239/43,,,,,,,,,,,,,,,,,,,,,w.UP,24.785/89,,,,,,,,,,,,27.8112/116,,,21.181/85,w.UP,,,,,,,39,,2016-06-14,,,GESOP/El Periódico[p 45],3.1,900.0,69–71,
,,,,,,,,,,,,,,,,,15.338,0.31,,,,,,,,1.57,,,0.92,,2.29,,,,,,,w.UP,24.686,,,,,,,,,,,1.15,29.2122,,,21.180,w.UP,,,,,,,40,,2016-06-14,,,Redondo & Asociados/Tiempo[p 46][p 47],4.6,1000.0,,
,,,,,0.20,,,,,,,,,,,,13.835/36,0.31,,,,,,,,1.76/7,,,0.82,,2.48,,,,,,,w.UP,24.980/84,,,,,,1.0,,,,,1.26,29.8121/126,,,22.083/86,w.UP,,,,,,,41,,2016-06-14,,,Celeste-Tel/eldiario.es[p 48],4.9,1100.0,66.3,
,,,,,,,,,,,,,,,,,15.139,0.31,,,,,,,,2.29,,,0.92,,2.49,,,,,,,w.UP,24.487,,,,,,,,,,,1.25,29.2118,,,21.180,w.UP,,,,,,,42,,2016-06-13,,,JM&A/Público[p 49],4.8,,69.0,
,,,,,,,,,,,,,,,,,14.938/42,,,,,,,,,,,,,,,,,,,,,w.UP,24.986/90,,,,,,,,,,,,28.0113/117,,,21.080/84,w.UP,,,,,,,43,,2016-06-13,,,GESOP/El Periódico[p 50],3.1,900.0,70–72,
,,,,,,,,,,,,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,w.UP,24.5,,,,,,,,,,,,29.0,,,21.3,w.UP,,,,,,,44,,2016-06-12,,,TNS Demoscopia[p 51],4.5,500.0,69–70,
,,,,,,,,,,,,,,,,,13.436/38,?0/1,,,,,,,,?6/7,,,?3,,?7/8,,,,,,,w.UP,24.487/89,,,,,,,,,,,?5,29.7122/125,,,22.979/82,w.UP,,,,,,,45,,2016-06-10,,,SYM Consulting/Valencia Plaza[p 52],5.3,1816.0,72.8,
,,,,,,,,,,,,,,,,,13.735/37,0.31,,,,,,,,1.76/7,,,0.82,,2.38/9,,,,,,,w.UP,24.881/86,,,,,,,,,,,1.15/6,30.6126/130,,,21.381/83,w.UP,,,,,,,46,,2016-06-10,,,NC Report/La Razón[p 3][p 29],5.8,1000.0,,
,,,,,,,,,,,,,,,,,15.845,,,,,,,,,,,,,,,,,,,,,w.UP,24.787,,,,,,,,,,,,28.8117,,,21.078,w.UP,,,,,,,47,,2016-06-10,,,Netquest/El Español[p 53],4.1,2000.0,,
,,,,,,,,,,,,,,,,,14.940/41,0.30/1,,,,,,,,1.86/7,,,0.92,,2.48/9,,,,,,,w.UP,24.385/87,,,,,,,,,,,1.25,29.8119/122,,,21.480/82,w.UP,,,,,,,48,,2016-06-09,,,GAD3/La Vanguardia[p 54],5.5,1016.0,70,
,,,,,,,,,,,,,,,,,12.934,,,,,,,,,1.96,,,0.93,,2.48,,,,,,,w.UP,26.190,,,,,,,,,,,0.93,29.2121,,,21.485,w.UP,,,,,,,49,,2016-06-09,,,Sondaxe/La Voz de Galicia[p 55][p 56],3.1,1005.0,,
,,,,,,,,,,,,,,,,,15.9,,,,,,,,,,,,,,,,,,,,,w.UP,25.4,,,,,,,,,,,,28.9,,,20.8,w.UP,,,,,,,50,,2016-06-08,,,Metroscopia/El País[p 57][p 58][p 59],3.5,1200.0,70,
,,,,,,,,,,,,,,,,,14.4,,,,,,,,,1.7,,,,,2.6,,,,,,,w.UP,24.8,,,,,,,,,,,1.3,30.1,,,20.0,w.UP,,,,,,,51,,2016-06-07,,,Invymark/laSexta[p 60],5.3,,,
,,,,,,,,,,,,,,,,,15.540/44,,,,,,,,,1.65/6,,,,,2.38/9,,,,,,,w.UP,24.584/88,,,,,,,,,,,,27.9113/117,,,21.280/84,w.UP,,,,,,,52,,2016-06-07,,,GESOP/El Periódico[p 61][p 62],3.4,1816.0,,
,,,,,0.20,,,,,,,,,,,,14.336/37,0.31,,,,,,,,1.75/6,,,0.92,,2.47/8,,,,,,,w.UP,24.479/85,,,,,,1.0,,,,,1.26,29.7122/125,,,22.183/86,w.UP,,,,,,,53,,2016-06-07,,,Celeste-Tel/eldiario.es[p 63],5.3,1100.0,65.6,
,,,,,0.20,,,,,,,,,,,,13.631/34,0.20/1,,,,,,,,2.05/7,,,0.71/2,,2.37/9,,,,,,,w.UP,23.687/90,,,,,,,,,,,1.34/6,30.4122/126,,,21.984/87,w.UP,,,,,,,54,,2016-06-05,,,Encuestamos[p 64],6.8,2000.0,,
,,,,,,,,,,,,,,,,,15.444,,,,,,,,,,,,,,,,,,,,,w.UP,24.386,,,,,,,,,,,,27.7113,,,21.682,w.UP,,,,,,,55,,2016-06-03,,,Netquest/El Español[p 65],3.4,1000.0,,
,,,,,,,,,,,,,,,,,13.937/39,0.31,,,,,,,,1.76,,,0.82,,2.38/9,,,,,,,w.UP,24.580/84,,,,,,,,,,,1.15/6,30.5125/130,,,21.480/83,w.UP,,,,,,,56,,2016-06-03,,,NC Report/La Razón[p 66][p 67],6.0,2000.0,63.9,
,,,,,,,,,,,,,,,,,14.037,,,,,,,,,2.28,,,,,2.69,,,,,,,w.UP,23.780,,,,,,,,,,,1.36,31.0130,,,20.377,w.UP,,,,,,,57,,2016-06-02,,,Sigma Dos/El Mundo[p 68],7.3,1000.0,,
,,,,,,,,,,,,,,,,,14.838,0.41,,,,,,,,2.510,,,0.92,,2.38,,,,,,,w.UP,24.184,,,,,,,,,,,1.36,28.7118,,,21.783,w.UP,,,,,,,58,,2016-06-01,,,JM&A/Público[p 69],4.6,,69.5,
,,,,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,w.UP,22.4,,,,,,,,,,,,27.9,,,23.8,w.UP,,,,,,,59,,2016-06-01,,,PSOE[p 70],4.1,1000.0,,
,,,,,,,,,,,,,,,,,16.6,,,,,,,,,,,,,,,,,,,,,w.UP,25.6,,,,,,,,,,,,28.5,,,20.2,w.UP,,,,,,,60,,2016-06-01,,,Metroscopia/El País[p 71][p 72][p 73],2.9,1200.0,68,
,,,,,,,,,,,,,,,,,?41,?1,,,,,,,,?9,,,?2,,?8,,,,,,,w.UP,?88,,,,,,,,,,,?5,?117,,,?79,w.UP,,,,,,,61,,2016-05-31,,,CDC[p 74],,,69,
,,,,,,,,,,,,,,,,,14.238/40,0.31,,,,,,,,1.65/6,,,0.82,,2.28,,,,,,,w.UP,24.779/84,,,,,,,,,,,1.15/6,30.5124/130,,,21.380/82,w.UP,,,,,,,62,,2016-05-27,,,NC Report/La Razón[p 75][p 76],5.8,2000.0,,
,,,,,,,,,,,,,,,,,14.840,0.31,,,,,,,,2.28,,,0.92,,2.49,,,,,,,w.UP,22.577,,,,,,,,,,,1.26,29.6121,,,21.686,w.UP,,,,,,,63,,2016-05-26,,,GAD3/ABC[p 77],7.1,1000.0,70,
,,,,,,,,,,,,,,,,,14.7,,,,,,,,,,,,,,,,,,,,,w.UP,24.4,,,,,,,,,,,,29.8,,,20.4,w.UP,,,,,,,64,,2016-05-25,,,Advice Strategic/Europa Press[p 78],5.4,2500.0,,
,,,,,,,,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,,w.UP,24.8,,,,,,,,,,,,29.2,,,20.7,w.UP,,,,,,,65,,2016-05-24,,,MyWord/Cadena SER[p 79][p 80],4.4,1000.0,,
,,,,,,,,,,,,,,,,,14.638/39,0.20,,,,,,,,1.86/7,,,0.93,,2.48/9,,,,,,,w.UP,25.688/92,,,,,,,,,,,1.25,29.2118/121,,,21.278/80,w.UP,,,,,,,66,,2016-05-22,,,CIS[p 81][p 82],3.6,17488.0,,
,,,,,0.20,,,,,,,,,,,,13.933/36,0.31/2,,,,,,,,2.26/8,,,0.61/2,,2.47/9,,,,,,,w.UP,23.284/87,,,,,,,,,,,1.14/6,30.3121/125,,,22.987/90,w.UP,,,,,,,67,,2016-05-22,,,Encuestamos[p 83],7.1,2000.0,,
,,,,,0.20,,,,,,,,,,,,14.938/41,0.31,,,,,,,,1.55/6,,,0.92,,2.37/8,,,,,,,w.UP,24.278/82,,,,,,1.1,,,,,1.26,29.5120/122,,,22.084/87,w.UP,,,,,,,68,,2016-05-20,,,Celeste-Tel/eldiario.es[p 84][p 85],5.3,1100.0,65.0,
,,,,,,,,,,,,,,,,,14.538/40,0.31,,,,,,,,1.56,,,0.82,,2.38,,,,,,,w.UP,24.977/82,,,,,,,,,,,1.16,30.4125/130,,,21.180/83,w.UP,,,,,,,69,,2016-05-20,,,NC Report/La Razón[p 86][p 87],5.5,2500.0,63.5,
,,,,,,,,,,,,,,,,,16.4,,,,,,,,,,,,,,,,,,,,,w.UP,22.9,,,,,,,,,,,,28.4,,,20.1,w.UP,,,,,,,70,,2016-05-18,,,Metroscopia/El País[p 88][p 89][p 90][p 91],5.5,1200.0,72,
,,,,,,,,,,,,,,,,,13.333/36,0.31,,,,,,,,2.17/8,,,0.82,,2.59,,,,,,,w.UP,24.382/88,,,,,,,,,,,1.25,29.3113/120,,,21.985/89,w.UP,,,,,,,73,,2016-05-18,,,GIPEyOP[p 92],5.0,2940.0,,
,,,,,,,,,,,,,,,,,15.138,0.31,,,,,,,,1.57,,,0.92,,2.29,,,,,,,w.UP,24.379,,,,,,,,,,,1.16,29.4126,,,21.282,w.UP,,,,,,,74,,2016-05-17,,,Redondo & Asociados/Tiempo[p 93][p 94],5.1,1000.0,70.1,
,,,,,,,,,,,,,,,,,16.652,0.31,,,,,,,,2.39,,,0.92,,2.38,,,,,,,w.UP,24.588,,,,,,,,,,,1.35,27.8112,,,20.373,w.UP,,,,,,,75,,2016-05-13,,,JM&A/Público[p 95],3.3,,69.2,
,,,,,,,,,,,,,,,,,14.740,,,,,,,,,,,,,,,,,,,,,w.UP,23.784,,,,,,,,,,,,30.8123,,,19.773,w.UP,,,,,,,76,,2016-05-13,,,Netquest/El Español[p 96],7.1,1000.0,,
,,,,,,,,,,,,,,,,,15.1,,,,,,,,,,,,,,,,,,,,,w.UP,24.2,,,,,,,,,,,,29.6,,,20.1,w.UP,,,,,,,77,,2016-05-13,,,Invymark/laSexta[p 97],5.4,,,
,,,,,,,,,,,,,,,,,14.739/41,0.31,,,,,,,,1.56,,,0.92,,2.28,,,,,,,w.UP,24.976/81,,,,,,,,,,,1.16,30.2125/130,,,21.080/84,w.UP,,,,,,,78,,2016-05-12,,,NC Report/La Razón[p 98][p 99][p 100],5.3,1500.0,,
,,,,,,,,,,,,,,,,,17.7,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,29.9,,,21.5,14.2,,,,,,,79,,2016-05-10,,,Simple Lógica[p 101],8.4,1035.0,71.7,
,,,,,,,,,,,,,,,,,15.039/42,0.31,,,,,,,,1.56,,,0.82,,2.18,,,,,,,w.UP,24.775/80,,,,,,,,,,,1.26,30.2126/130,,,20.880/84,w.UP,,,,,,,80,,2016-05-07,,,NC Report/La Razón[p 102][p 103],5.5,2000.0,63.6,
,,,,,0.20,,,,,,,,,,,,15.539/41,0.31,,,,,,,,1.55/6,,,0.92,,2.48/9,,,,,,,w.UP,24.275/80,,,,,,1.0,,,,,1.25,29.2120/123,,,22.485/89,w.UP,,,,,,,81,,2016-05-06,,,Celeste-Tel/eldiario.es[p 104],5.0,1100.0,64.5,
,,,,,0.30,,,,,,,,,,,,14.135/37,0.30/1,,,,,,,,2.37/8,,,0.61/2,,2.47/8,,,,,,,w.UP,23.986/88,,,,,,,,,,,1.24/5,30.0115/117,,,22.887/89,w.UP,,,,,,,83,,2016-05-02,,,Encuestamos[p 105],6.1,1800.0,,
,,,,,,,,,,,,,,,,,15.339/44,0.31,,,,,,,,1.56,,,0.82,,2.08,,,,,,,w.UP,24.575/82,,,,,,,,,,,1.36,30.1126/130,,,20.780/83,w.UP,,,,,,,85,,2016-04-30,,,NC Report/La Razón[p 106][p 107],5.6,2000.0,63.9,
,,,,,,,,,,,,,,,,,14.039,0.41,,,,,,,,1.87,,,0.92,,2.28,,,,,,,w.UP,20.968,,,,,,,,,,,1.36,29.7125,,,23.294,w.UP,,,,,,,87,,2016-04-29,,,GAD3/ABC[p 108][p 109],6.5,800.0,68,
,,,,,,,,,,,,,,,,,15.4,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,28.7,,,19.4,20.7,,,,,,,89,,2016-04-29,,,Invymark/laSexta[p 110][p 111],8.0,1200.0,,
,,,,,,,,,,,,,,,,,16.9,,,,,,,,,,,,,,,,,,,,,w.UP,22.3,,,,,,,,,,,,29.0,,,20.3,w.UP,,,,,,,90,,2016-04-28,,,Metroscopia/El País[p 112][p 113][p 114][p 115],6.7,1200.0,70,
,,,,,,,,,,,,,,,,,15.540/45,0.31,,,,,,,,1.66,,,0.82,,2.38,,,,,,,w.UP,24.174/81,,,,,,,,,,,1.26,30.2125/130,,,20.980/83,w.UP,,,,,,,92,,2016-04-23,,,NC Report/La Razón[p 116][p 117][p 118],6.1,2000.0,63.9,
,,,,,,,,,,,,,,,,,16.551,0.31,,,,,,,,2.39,,,0.82,,2.38,,,,,,,w.UP,25.292,,,,,,,,,,,1.35,27.8110,,,20.072,w.UP,,,,,,,94,,2016-04-22,,,JM&A/Público[p 119],2.6,,68.6,
,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,27.3,,,20.2,18.7,,,,,,,95,,2016-04-22,,,Netquest/El Español[p 120],7.1,1000.0,,
,,,,,,,,,,,,,,,,,15.244,,,,,,,,,1.96,,,,,2.69,,,,,,,w.UP,21.570,,,,,,,,,,,1.15,29.8123,,,22.990,w.UP,,,,,,,96,,2016-04-22,,,Sigma Dos/El Mundo[p 121],6.9,800.0,,
,,,,,?0,,,,,,,,,,,,14.240/42,0.31/2,,,,,,,,2.27/8,,,0.61/2,,2.69/10,,,,,,,4.43/5,,,,,,,,,,,,1.15/6,30.3131/135,,,23.092/94,19.460/63,,,,,,,98,,2016-04-20,,,Encuestamos[p 122],7.3,2000.0,,
,,,,,,,,,,,,,,,,,15.642/47,0.31,,,,,,,,1.65/6,,,0.72,,2.38/9,,,,,,,w.UP,23.770/76,,,,,,,,,,,1.26/7,30.1126/130,,,21.083/85,w.UP,,,,,,,99,,2016-04-16,,,NC Report/La Razón[p 123][p 124][p 125],6.4,2400.0,64.2,
,,,,,,,,,,,,,,,,,15.8,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,28.6,,,20.4,19.2,,,,,,,101,,2016-04-15,,,Invymark/laSexta[p 126][p 127],8.2,,,
,,,,,,,,,,,,,,,,,15.8,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,29.4,,,22.3,17.5,,,,,,,102,,2016-04-14,,,TNS Demoscopia[p 128],7.1,1000.0,68–69,
,,,,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,30.7,,,21.2,21.9,,,,,,,103,,2016-04-14,,,NC Report[p 129],8.8,955.0,,
,,,,,,,,,,,,,,,,,17.060,0.41,,,,,,,,2.49,,,0.92,,2.49,,,,,,,3.62,,,,,,,,,,,,1.36,27.9115,,,19.877,20.969,,,,,,,104,,2016-04-13,,,JM&A/Público[p 130],7.0,,66.9,
,,,,,,,,,,,,,,,,,17.7,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,28.3,,,20.6,16.9,,,,,,,105,,2016-04-12,,,Simple Lógica[p 131],7.7,1047.0,73.8,
,,,,,,,,,,,,,,,,,16.653,?1,,,,,,,,1.76,,,0.72,,2.29,,,,,,,7.512,,,,,,,,,,,,1.16,28.8123,,,22.290,15.648,,,,,,,106,,2016-04-10,,,IMOP/Llorente & Cuenca[p 132],6.6,1027.0,69,
,,,,,,,,,,,,,,,,,16.0,,,,,,,,,2.0,,,,,2.3,,,,,,,5.5,,,,,,,,,,,,1.2,29.1,,,21.7,17.4,,,,,,,107,,2016-04-10,,,Advice Strategic/Europa Press[p 133],7.4,2500.0,,
,,,,,,,,,,,,,,,,,15.645,0.41,,,,,,,,1.96,,,0.72,,2.59,,,,,,,w.UP,23.181,,,,,,,,,,,1.04,27.4115,,,21.687,w.UP,,,,,,,108,,2016-04-10,,,CIS[p 134][p 135][p 136][p 137],4.3,2490.0,,
,,,,,,,,,,,,,,,,,15.8,0.3,,,,,,,,1.6,,,0.7,,2.4,,,,,,,w.UP,23.1,,,,,,,,,,,1.3,30.0,,,21.4,w.UP,,,,,,,110,,2016-04-09,,,NC Report/La Razón[p 138][p 139][p 117],6.9,2300.0,,
,,,,,,,,,,,,,,,,,14.445,0.20,,,,,,,,2.08,,,0.83,,2.39,,,,,,,6.711,,,,,,,,,,,,1.16,29.2127,,,23.395,15.546,,,,,,,112,,2016-04-07,,,GAD3/ABC[p 140][p 141],5.9,800.0,68,
,,,,,,,,,,,,,,,,,17.7,,,,,,,,,,,,,,,,,,,,,w.UP,20.8,,,,,,,,,,,,29.0,,,20.1,w.UP,,,,,,,113,,2016-04-06,,,Metroscopia[p 142][p 143],8.2,1200.0,70,
,,,,,,,,,,,,,,,,,15.2,,,,,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,29.2,,,20.7,19.6,,,,,,,115,,2016-04-06,,,DYM/El Confidencial[p 144],8.5,1036.0,,
,,,,,0.20,,,,,,,,,,,,15.944/47,0.31,,,,,,,,1.87,,,0.72,,2.79/10,,,,,,,4.53/5,,,,,,,1.0,,,,,1.15/6,29.1123/125,,,22.289/90,19.461/66,,,,,,,116,,2016-04-05,,,Celeste-Tel/eldiario.es[p 145][p 146],6.9,1100.0,64.9,
,,,,,,,,,,,,,,,,,16.145,,,,,,,,,1.75,,,,,3.011,,,,,,,4.62,,,,,,,,,,,,,29.2128,,,23.792,17.558,,,,,,,117,,2016-04-05,,,Estudio de Sociología Consultores[p 147],4.5,2300.0,,
,,,,,,,,,,,,,,,,,15.738,0.31,,,,,,,,1.77,,,0.72,,2.49,,,,,,,w.UP,24.078,,,,,,,,,,,1.36,29.1125,,,21.884,w.UP,,,,,,,118,,2016-04-04,,,Redondo & Asociados/Tiempo[p 148][p 149][p 150],5.1,1000.0,69.7,
,,,,,,,,,,,,,,,,,15.8,0.3,,,,,,,,1.7,,,0.7,,2.5,,,,,,,w.UP,22.1,,,,,,,,,,,1.3,29.8,,,22.1,w.UP,,,,,,,120,,2016-04-02,,,NC Report/La Razón[p 151][p 117],7.7,1800.0,,
,,,,,,,,,,,,,,,,,15.2,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,28.6,,,21.6,19.9,,,,,,,122,,2016-04-01,,,Invymark/laSexta[p 152][p 153],7.0,1200.0,,
,,,,,,,,,,,,,,,,,16.252,,,,,,,,,2.17,,,,,2.38,,,,,,,4.56,,,,,,,,,,,,1.16,30.2128,,,22.090,16.749,,,,,,,123,,2016-03-31,,,Sigma Dos/El Mundo[p 154],8.2,800.0,,
,,,,,,,,,,,,,,,,,18.8,,,,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,27.7,,,21.0,15.9,,,,,,,124,,2016-03-30,,,Metroscopia/El País[p 155][p 156][p 157],6.7,1200.0,73,
,,,,,,,,,,,,,,,,,16.9,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,27.5,,,19.3,17.3,,,,,,,125,,2016-03-30,,,Netquest/El Español[p 158],8.2,1002.0,,
,,,,,,,,,,,,,,,,,15.5,0.3,,,,,,,,1.8,,,0.7,,2.5,,,,,,,w.UP,22.3,,,,,,,,,,,1.3,29.8,,,22.4,w.UP,,,,,,,126,,2016-03-27,,,NC Report/La Razón[p 159][p 160][p 161],7.4,900.0,,
,,,,,,,,,,,,,,,,,14.240/42,0.31/2,,,,,,,,2.27/8,,,0.61/2,,2.69/10,,,,,,,4.12/4,,,,,,,,,,,,1.26/7,30.1128/131,,,23.293/95,19.661/64,,,,,,,128,,2016-03-20,,,Encuestamos[p 162],6.9,2000.0,,
,,,,,,,,,,,,,,,,,15.144/48,0.41,,,,,,,,1.87,,,0.82,,2.39,,,,,,,4.42/4,,,,,,,,,,,,1.26,29.3124/128,,,22.187/90,19.562/66,,,,,,,129,,2016-03-17,,,NC Report/La Razón[p 163][p 164],7.2,1000.0,64.7,
,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,27.0,,,20.9,15.9,,,,,,,130,,2016-03-14,,,MyWord/Cadena SER[p 165][p 166],6.1,1004.0,,
,,,,,,,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,28.5,,,20.8,21.5,,,,,,,131,,2016-03-11,,,Invymark/laSexta[p 167],7.0,,,
,,,,,,,,,,,,,,,,,15.142/47,0.31,,,,,,,,1.87,,,0.82,,2.49,,,,,,,4.42/4,,,,,,,,,,,,1.26,29.3126/128,,,22.087/90,19.863/67,,,,,,,132,,2016-03-11,,,NC Report/La Razón[p 168][p 169],7.3,2300.0,,
,,,,,,,,,,,,,,,,,14.142,0.31,,,,,,,,1.87,,,0.72,,2.910,,,,,,,3.21,,,,,,,,,,,,1.26,28.2123,,,24.298,18.760,,,,,,,133,,2016-03-10,,,GAD3/ABC[p 170][p 171],4.0,800.0,67,
,,,,,,,,,,,,,,,,,19.5,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,26.0,,,23.1,16.8,,,,,,,134,,2016-03-09,,,Metroscopia/El País[p 172][p 173][p 174],2.9,1200.0,75,
,,,,,,,,,,,,,,,,,15.648,0.31,,,,,,,,2.18,,,0.82,,2.58,,,,,,,4.24,,,,,,,,,,,,1.26,28.6124,,,22.089,19.160,,,,,,,135,,2016-03-09,,,Sondaxe/La Voz de Galicia[p 175][p 176],6.6,1002.0,,
